# ort(start) =    -6.7060
#   klo  khi step start
#%   24 1094    1   24

# Energy[ev]             flux               DELTA(E)           Probability
0.100000E-02       180.875275          1502.25201         0.120402750867    
0.103800E-02       234.875467          1492.90611         0.157327688359    
0.107600E-02       300.172827          1484.11390         0.202257270862    
0.111400E-02       372.759242          1475.82375         0.252577072294    
0.115200E-02       445.912557          1467.99019         0.303757177573    
0.119000E-02       510.936031          1460.57300         0.349818892772    
0.122800E-02       558.549837          1453.53648         0.384269567865    
0.126600E-02       580.729046          1446.84883         0.401375068255    
0.130400E-02       572.635749          1440.48159         0.397530765771    
0.134200E-02       534.212423          1434.40926         0.372426779861    
0.138000E-02       471.019395          1428.60890         0.329704928138    
0.141800E-02       394.019604          1423.05980         0.276881973097    
0.145600E-02       318.220852          1417.74322         0.224455915491    
0.149400E-02       260.336872          1412.64218         0.184290739268    
0.153200E-02       235.866012          1407.74124         0.167549266348    
0.157000E-02       256.150719          1403.02633         0.182570144809    
0.160800E-02       326.026892          1398.48459         0.233128699213    
0.164600E-02       442.580844          1394.10426         0.317466099971    
0.168400E-02       595.317478          1389.87458         0.428324602100    
0.172200E-02       767.751836          1385.78564         0.554019188285    
0.176000E-02       940.133584          1381.82833         0.680354835011    
0.179800E-02       1092.77097          1377.99425         0.793015622531    
0.183600E-02       1209.29464          1374.27565         0.879950564341    
0.187400E-02       1279.22199          1370.66538         0.933285402736    
0.191200E-02       1299.34318          1367.15678         0.950398077295    
0.195000E-02       1273.71112          1363.74372         0.933981291545    
0.198800E-02       1212.31639          1360.42048         0.891133593358    
0.202600E-02       1128.79414          1357.18175         0.831719216310    
0.206400E-02       1037.68481          1354.02259         0.766371860583    
0.210200E-02       951.819216          1350.93839         0.704561526891    
0.214000E-02       880.320193          1347.92486         0.653092926448    
0.217800E-02       827.535850          1344.97799         0.615278359051    
0.221600E-02       792.993976          1342.09402         0.590863207526    
0.225400E-02       772.249855          1339.26944         0.576620231133    
0.229200E-02       758.339042          1336.50097         0.567406279452    
0.233000E-02       743.471277          1333.78552         0.557414417058    
0.236800E-02       720.615267          1331.12020         0.541360027879    
0.240600E-02       684.708213          1328.50228         0.515398596475    
0.244400E-02       633.345743          1325.92923         0.477661800557    
0.248200E-02       566.931651          1323.39862         0.428390690554    
0.252000E-02       488.364156          1320.90821         0.369718465337    
0.255800E-02       402.391667          1318.45585         0.305199196302    
0.259600E-02       314.786915          1316.03955         0.239192595437    
0.263400E-02       231.475529          1313.65739         0.176206924897    
0.267200E-02       157.729587          1311.30759         0.120284201735    
0.271000E-02       97.5114954          1308.98847         0.744937771948E-01
0.274800E-02       53.0341078          1306.69842         0.405863412523E-01
0.278600E-02       24.5864086          1304.43592         0.188483068809E-01
0.282400E-02       10.6524518          1302.19956         0.818035282717E-02
0.286200E-02       8.31731937          1299.98797         0.639799719962E-02
0.290000E-02       13.9064180          1297.79987         0.107153794294E-01
0.293800E-02       23.7512867          1295.63404         0.183317865759E-01
0.297600E-02       34.9317398          1293.48933         0.270058198097E-01
0.301400E-02       45.8287999          1291.36465         0.354886590946E-01
0.305200E-02       56.3489546          1289.25896         0.437064673921E-01
0.309000E-02       67.7498789          1287.17127         0.526347042689E-01
0.312800E-02       82.0981514          1285.10064         0.638846086915E-01
0.316600E-02       101.494845          1283.04618         0.791045917766E-01
0.320400E-02       127.283109          1281.00706         0.993617548717E-01
0.324200E-02       159.474800          1278.98245         0.124688810417    
0.328000E-02       196.586602          1276.97160         0.153947512749    
0.331800E-02       235.966342          1274.97378         0.185075446595    
0.335600E-02       274.544608          1272.98830         0.215669389208    
0.339400E-02       309.807097          1271.01448         0.243747889027    
0.343200E-02       340.693563          1269.05171         0.268463104779    
0.347000E-02       368.122508          1267.09939         0.290523782359    
0.350800E-02       394.926719          1265.15694         0.312156307882    
0.354600E-02       425.145376          1263.22382         0.336555857711    
0.358400E-02       462.810979          1261.29951         0.366931863642    
0.362200E-02       510.538199          1259.38351         0.405387393916    
0.366000E-02       568.313967          1257.47536         0.451948393828    
0.369800E-02       632.870538          1255.57459         0.504048538038    
0.373600E-02       697.893031          1253.68079         0.556675221185    
0.377400E-02       755.100501          1251.79354         0.603214888575    
0.381200E-02       796.000976          1249.91245         0.636845386099    
0.385000E-02       813.922559          1248.03714         0.652162128432    
0.388800E-02       805.821926          1246.16727         0.646640260876    
0.392600E-02       773.400199          1244.30248         0.621553210832    
0.396400E-02       723.210123          1242.44245         0.582087423291    
0.400200E-02       665.678653          1240.58687         0.536583667214    
0.404000E-02       613.232310          1238.73545         0.495047033678    
0.407800E-02       577.929282          1236.88790         0.467244672766    
0.411600E-02       569.116247          1235.04395         0.460806474307    
0.415400E-02       591.612244          1233.20334         0.479736168923    
0.419200E-02       644.785545          1231.36582         0.523634434208    
0.423000E-02       722.673602          1229.53116         0.587763551119    
0.426800E-02       815.060983          1227.69914         0.663893098622    
0.430600E-02       909.236999          1225.86953         0.741707808661    
0.434400E-02       992.048146          1224.04213         0.810468956975    
0.438200E-02       1051.85672          1222.21674         0.860613901459    
0.442000E-02       1080.10171          1220.39319         0.885044032443    
0.445800E-02       1072.29332          1218.57128         0.879959461386    
0.449600E-02       1028.41126          1216.75084         0.845211047987    
0.453400E-02       952.778115          1214.93172         0.784223587182    
0.457200E-02       853.523087          1213.11376         0.703580417342    
0.461000E-02       741.739776          1211.29681         0.612351795311    
0.464800E-02       630.401860          1209.48072         0.521216954815    
0.468600E-02       533.064844          1207.66537         0.441401118028    
0.472400E-02       462.381836          1205.85062         0.383448687160    
0.476200E-02       428.508279          1204.03634         0.355893143770    
0.480000E-02       437.553733          1202.22243         0.363954057960    
0.483800E-02       490.325743          1200.40877         0.408465644668    
0.487600E-02       581.659372          1198.59525         0.485284227900    
0.491400E-02       700.599111          1196.78178         0.585402554756    
0.495200E-02       831.581538          1194.96825         0.695902621939    
0.499000E-02       956.570770          1193.15457         0.801715712721    
0.502800E-02       1057.86732          1191.34067         0.887963745025    
0.506600E-02       1121.10663          1189.52644         0.942481474358    
0.510400E-02       1137.84964          1187.71182         0.958018281910    
0.514200E-02       1107.18913          1185.89673         0.933630308942    
0.518000E-02       1035.96389          1184.08110         0.874909571827    
0.521800E-02       937.457265          1182.26486         0.792933374242    
0.525600E-02       828.794483          1180.44795         0.702101675695    
0.529400E-02       727.558951          1178.63031         0.617291908719    
0.533200E-02       648.342899          1176.81187         0.550931643050    
0.537000E-02       599.976996          1174.99260         0.510621936980    
0.540800E-02       584.035080          1173.17243         0.497825439428    
0.544600E-02       594.917448          1171.35132         0.507889852877    
0.548400E-02       621.451242          1169.52922         0.531368718294    
0.552200E-02       649.600146          1167.70609         0.556304493903    
0.556000E-02       665.633867          1165.88189         0.570927356059    
0.559800E-02       659.028518          1164.05659         0.566148178434    
0.563600E-02       624.467346          1162.23015         0.537300936757    
0.567400E-02       562.556475          1160.40253         0.484794252032    
0.571200E-02       479.195231          1158.57370         0.413607895535    
0.575000E-02       383.860308          1156.74365         0.331845615510    
0.578800E-02       287.298070          1154.91233         0.248761799184    
0.582600E-02       199.216190          1153.07973         0.172768789720    
0.586400E-02       126.509760          1151.24583         0.109889439919    
0.590200E-02       72.3736140          1149.41060         0.629658486332E-01
0.594000E-02       36.3985082          1147.57403         0.317177866334E-01
0.597800E-02       15.4946884          1145.73610         0.135237848198E-01
0.601600E-02       5.29748784          1143.89679         0.463108901852E-02
0.605400E-02       1.62845913          1142.05609         0.142590118885E-02
0.609200E-02       1.62296464          1140.21398         0.142338601958E-02
0.613000E-02       4.26961978          1138.37047         0.375064173017E-02
0.616800E-02       10.2934462          1136.52553         0.905694234237E-02
0.620600E-02       21.4985283          1134.67916         0.189467904760E-01
0.624400E-02       39.8189351          1132.83135         0.351499231986E-01
0.628200E-02       66.3787403          1130.98211         0.586912382593E-01
0.632000E-02       100.827970          1129.13141         0.892969311314E-01
0.635800E-02       141.119682          1127.27927         0.125186088276    
0.639600E-02       183.758762          1125.42568         0.163279340133    
0.643400E-02       224.425073          1123.57063         0.199742737229    
0.647200E-02       258.785725          1121.71413         0.230705593659    
0.651000E-02       283.282066          1119.85619         0.252962898324    
0.654800E-02       295.707258          1117.99679         0.264497412272    
0.658600E-02       295.464313          1116.13595         0.264720720576    
0.662400E-02       283.486969          1114.27367         0.254414132459    
0.666200E-02       261.889515          1112.40995         0.235425361448    
0.670000E-02       233.465733          1110.54481         0.210226306910    
0.673800E-02       201.171452          1108.67824         0.181451610925    
0.677600E-02       167.702373          1106.81025         0.151518630206    
0.681400E-02       135.231260          1104.94086         0.122387780908    
0.685200E-02       105.313844          1103.07007         0.954733951909E-01
0.689000E-02       78.9276930          1101.19789         0.716743956922E-01
0.692800E-02       56.5839717          1099.32432         0.514715907417E-01
0.696600E-02       38.4517336          1097.44940         0.350373636992E-01
0.700400E-02       24.4531620          1095.57311         0.223199728046E-01
0.704200E-02       14.3161253          1093.69548         0.130896813550E-01
0.708000E-02       7.59596278          1091.81652         0.695717886265E-02
0.711800E-02       3.69275852          1089.93623         0.338805006104E-02
0.715600E-02       1.88978021          1088.05464         0.173684311205E-02
0.719400E-02       1.42546023          1086.17176         0.131237091315E-02
0.723200E-02       1.59201354          1084.28761         0.146825761612E-02
0.727000E-02       1.83701557          1082.40219         0.169716542549E-02
0.730800E-02       1.83706662          1080.51552         0.170017605658E-02
0.734600E-02       1.51815893          1078.62763         0.140749123081E-02
0.738400E-02       1.01367518          1076.73852         0.941431148844E-03
0.742200E-02      0.572021006          1074.84821         0.532187708598E-03
0.746000E-02      0.443735416          1072.95672         0.413563201251E-03
0.749800E-02      0.785562745          1071.06407         0.733441413031E-03
0.753600E-02       1.61307384          1069.17027         0.150871556877E-02
0.757400E-02       2.81564115          1067.27535         0.263815813500E-02
0.761200E-02       4.22410618          1065.37932         0.396488472403E-02
0.765000E-02       5.70098859          1063.48219         0.536068080535E-02
0.768800E-02       7.21359462          1061.58400         0.679512372055E-02
0.772600E-02       8.85623709          1059.68475         0.835742615776E-02
0.776400E-02       10.8077756          1057.78448         0.102173701650E-01
0.780200E-02       13.2380945          1055.88319         0.125374612065E-01
0.784000E-02       16.2017572          1053.98090         0.153719646852E-01
0.787800E-02       19.5687441          1052.07765         0.186000949749E-01
0.791600E-02       23.0346000          1050.17344         0.219340912064E-01
0.795400E-02       26.2258118          1048.26830         0.250182246176E-01
0.799200E-02       28.8784326          1046.36225         0.275988861466E-01
0.803000E-02       31.0318087          1044.45531         0.297109971848E-01
0.806800E-02       33.1589532          1042.54750         0.318057001742E-01
0.810600E-02       36.1610341          1040.63884         0.347488797705E-01
0.814400E-02       41.1879511          1038.72936         0.396522448877E-01
0.818200E-02       49.3024029          1036.81908         0.475515970158E-01
0.822000E-02       61.0649407          1034.90801         0.590051871409E-01
0.825800E-02       76.1619272          1032.99618         0.737291470069E-01
0.829600E-02       93.2092164          1031.08361         0.903992802527E-01
0.833400E-02       109.832773          1029.17033         0.106719724137    
0.837200E-02       123.057498          1027.25635         0.119792394892    
0.841000E-02       129.944628          1025.34170         0.126732998733    
0.844800E-02       128.332780          1023.42640         0.125395221320    
0.848600E-02       117.485830          1021.51047         0.115011870858    
0.852400E-02       98.4527549          1019.59394         0.965607496526E-01
0.856200E-02       74.0055872          1017.67682         0.727201264526E-01
0.860000E-02       48.1291487          1015.75915         0.473824417899E-01
