# ort(start) =    -7.9581
#   klo  khi step start
#%    7 1305    1    7

# Energy[ev]             flux               DELTA(E)           Probability
0.100000E-01       379.097568          592.921706         0.639372051534    
0.101040E-01       379.570657          595.284595         0.637628892685    
0.102080E-01       317.021971          597.608196         0.530484644378    
0.103120E-01       147.572739          599.892595         0.245998600106    
0.104160E-01       17.3042834          602.137881         0.287380746756E-01
0.105200E-01       5.89039700          604.344146         0.974675942499E-02
0.106240E-01       23.5244830          606.511487         0.387865415013E-01
0.107280E-01       14.9836786          608.640004         0.246182940978E-01
0.108320E-01       3.23317549          610.729801         0.529395403097E-02
0.109360E-01      0.196146554          612.780987         0.320092427763E-03
0.110400E-01       6.32800640          614.793672         0.102928944845E-01
0.111440E-01       25.2486887          616.767972         0.409370944312E-01
0.112480E-01       62.0401606          618.704005         0.100274380155    
0.113520E-01       88.7767296          620.601892         0.143049401995    
0.114560E-01       47.7632841          622.461760         0.767328809927E-01
0.115600E-01       39.6798124          624.283735         0.635605416430E-01
0.116640E-01       286.774033          626.067951         0.458055763194    
0.117680E-01       649.307838          627.814540          1.03423510642    
0.118720E-01       659.425467          629.523641          1.04749913068    
0.119760E-01       304.847803          631.195394         0.482968990633    
0.120800E-01       92.2608315          632.829944         0.145790875553    
0.121840E-01       188.479243          634.427435         0.297085580336    
0.122880E-01       274.354552          635.988017         0.431383209050    
0.123920E-01       214.782899          637.511841         0.336908093620    
0.124960E-01       161.820546          638.999063         0.253240662871    
0.126000E-01       157.868143          640.449839         0.246495717990    
0.127040E-01       132.510613          641.864328         0.206446451019    
0.128080E-01       81.9842607          643.242692         0.127454632071    
0.129120E-01       31.5893886          644.585096         0.490073207583E-01
0.130160E-01       3.15048784          645.891706         0.487773385645E-02
0.131200E-01       20.6620928          647.162691         0.319272001358E-01
0.132240E-01       50.4103422          648.398222         0.777459599585E-01
0.133280E-01       47.0096695          649.598473         0.723672721694E-01
0.134320E-01       51.6257116          650.763617         0.793309740055E-01
0.135360E-01       107.228559          651.893834         0.164487763607    
0.136400E-01       159.085315          652.989303         0.243626218597    
0.137440E-01       155.824607          654.050204         0.238245636724    
0.138480E-01       140.741437          655.076720         0.214847258215    
0.139520E-01       162.054154          656.069038         0.247007775373    
0.140560E-01       198.043548          657.027343         0.301423601001    
0.141600E-01       223.959858          657.951825         0.340389447388    
0.142640E-01       254.290178          658.842672         0.385964947681    
0.143680E-01       284.529557          659.700078         0.431301384475    
0.144720E-01       287.637216          660.524235         0.435468073248    
0.145760E-01       275.515863          661.315339         0.416617983629    
0.146800E-01       268.097515          662.073585         0.404936128845    
0.147840E-01       239.903941          662.799172         0.361955704154    
0.148880E-01       187.155908          663.492298         0.282076986287    
0.149920E-01       158.738387          664.153165         0.239008703740    
0.150960E-01       154.948201          664.781973         0.233081230938    
0.152000E-01       121.312886          665.378926         0.182321503097    
0.153040E-01       65.2446660          665.944229         0.979731683616E-01
0.154080E-01       42.9328374          666.478086         0.644174779446E-01
0.155120E-01       53.5776634          666.980704         0.803286557863E-01
0.156160E-01       60.1374405          667.452290         0.900999838073E-01
0.157200E-01       57.9756363          667.893053         0.868037720203E-01
0.158240E-01       51.3094888          668.303203         0.767757636418E-01
0.159280E-01       31.6373235          668.682950         0.473128909994E-01
0.160320E-01       9.13763153          669.032505         0.136579784373E-01
0.161360E-01       4.72331924          669.352081         0.705655420696E-02
0.162400E-01       15.4622427          669.641890         0.230903157534E-01
0.163440E-01       33.3215433          669.902147         0.497409113353E-01
0.164480E-01       72.4433377          670.133066         0.108102914770    
0.165520E-01       134.174936          670.334861         0.200161059659    
0.166560E-01       169.297803          670.507750         0.252491940435    
0.167600E-01       126.914945          670.651948         0.189241148915    
0.168640E-01       39.3218323          670.767673         0.586221339443E-01
0.169680E-01       5.14002069          670.855141         0.766189356591E-02
0.170720E-01       63.8742507          670.914573         0.952047448107E-01
0.171760E-01       134.340889          670.946185         0.200226027066    
0.172800E-01       125.454972          670.950197         0.186981049920    
0.173840E-01       68.5184628          670.926829         0.102125090026    
0.174880E-01       63.4171115          670.876300         0.945287700122E-01
0.175920E-01       121.652735          670.798831         0.181355018825    
0.176960E-01       166.261556          670.694643         0.247894564322    
0.178000E-01       169.600111          670.563955         0.252921604257    
0.179040E-01       170.442402          670.406989         0.254237209217    
0.180080E-01       170.261845          670.223966         0.254037238027    
0.181120E-01       134.963267          670.015108         0.201433170348    
0.182160E-01       79.0490110          669.780637         0.118022239930    
0.183200E-01       46.4844702          669.520773         0.694294666725E-01
0.184240E-01       41.3582658          669.235739         0.617992486002E-01
0.185280E-01       44.5190308          668.925757         0.665530222468E-01
0.186320E-01       50.0781599          668.591049         0.749010325580E-01
0.187360E-01       49.9616980          668.231836         0.747670124718E-01
0.188400E-01       33.8056894          667.848341         0.506188116680E-01
0.189440E-01       12.6756559          667.440786         0.189914313446E-01
0.190480E-01       2.70046377          667.009391         0.404861431809E-02
0.191520E-01      0.520388577          666.554380         0.780714361131E-03
0.192560E-01       1.19614602          666.075972         0.179581019321E-02
0.193600E-01       10.8434154          665.574391         0.162918158930E-01
0.194640E-01       28.2885563          665.049858         0.425359933592E-01
0.195680E-01       45.6374682          664.502592         0.686791425620E-01
0.196720E-01       64.3339974          663.932816         0.968983546600E-01
0.197760E-01       83.6916270          663.340749         0.126166871360    
0.198800E-01       92.8698547          662.726613         0.140132979292    
0.199840E-01       92.9668267          662.090626         0.140414050647    
0.200880E-01       95.7654151          661.433010         0.144784753227    
