# ort(start) =    -8.1790
#   klo  khi step start
#%    4  284    1    4

# Energy[ev]             flux               DELTA(E)           Probability
0.150000          0.125881160          202.725897         0.620942670674E-03
0.150150          0.916352734E-01      203.121421         0.451135449265E-03
0.150300          0.659300878E-01      203.514937         0.323956996146E-03
0.150450          0.953844488E-01      203.906436         0.467785375177E-03
0.150600          0.226153260          204.295908         0.110698869025E-02
0.150750          0.486714392          204.683344         0.237788958792E-02
0.150900          0.875775278          205.068733         0.427064264978E-02
0.151050           1.35894033          205.452067         0.661439111593E-02
0.151200           1.87499619          205.833337         0.910929307789E-02
0.151350           2.34977567          206.212532         0.113949217733E-01
0.151500           2.71344130          206.589645         0.131344497331E-01
0.151650           2.91628327          206.964665         0.140907302468E-01
0.151800           2.93888956          207.337584         0.141744178466E-01
0.151950           2.79447420          207.708394         0.134538337609E-01
0.152100           2.52355594          208.077084         0.121279858995E-01
0.152250           2.18327634          208.443647         0.104741802874E-01
0.152400           1.83480571          208.808074         0.878704386531E-02
0.152550           1.53223976          209.170356         0.732531983797E-02
0.152700           1.31529682          209.530485         0.627735299672E-02
0.152850           1.20648779          209.888452         0.574823331848E-02
0.153000           1.21189797          210.244249         0.576423838739E-02
0.153150           1.32384292          210.597867         0.628611742238E-02
0.153300           1.52369635          210.949299         0.722304530010E-02
0.153450           1.78400776          211.298537         0.844306727485E-02
0.153600           2.07018323          211.645572         0.978136801201E-02
0.153750           2.34290406          211.990397         0.110519348934E-01
0.153900           2.56262217          212.333003         0.120688830154E-01
0.154050           2.69672091          212.673383         0.126801054283E-01
0.154200           2.72849751          213.011529         0.128091541413E-01
0.154350           2.66557874          213.347434         0.124940745384E-01
0.154500           2.54443730          213.681089         0.119076391397E-01
0.154650           2.42790481          214.012489         0.113446874876E-01
0.154800           2.39416553          214.341625         0.111698581053E-01
0.154950           2.51833443          214.668490         0.117312719525E-01
0.155100           2.85058603          214.993076         0.132589666372E-01
0.155250           3.39689630          215.315378         0.157763757470E-01
0.155400           4.10889122          215.635387         0.190548095195E-01
0.155550           4.88762563          215.953097         0.226328109908E-01
0.155700           5.60257580          216.268501         0.259056486657E-01
0.155850           6.12262028          216.581592         0.282693474334E-01
0.156000           6.35164783          216.892364         0.292847923016E-01
0.156150           6.25904665          217.200810         0.288168661300E-01
0.156300           5.89565262          217.506923         0.271055860930E-01
0.156450           5.38895512          217.810697         0.247414621634E-01
0.156600           4.91676233          218.112126         0.225423612187E-01
0.156750           4.66465581          218.411203         0.213572185935E-01
0.156900           4.77762126          218.707923         0.218447562184E-01
0.157050           5.31863753          219.002279         0.242857633647E-01
0.157200           6.24586274          219.294265         0.284816510211E-01
0.157350           7.41552231          219.583876         0.337707961383E-01
0.157500           8.61085393          219.871105         0.391631903084E-01
0.157650           9.59038388          220.155947         0.435617752365E-01
0.157800           10.1434401          220.438396         0.460148514942E-01
0.157950           10.1387343          220.718447         0.459351470958E-01
0.158100           9.55370547          220.996094         0.432302006268E-01
0.158250           8.47758376          221.271331         0.383130688691E-01
0.158400           7.08828689          221.544155         0.319949172233E-01
0.158550           5.61020496          221.814558         0.252923207987E-01
0.158700           4.26467701          222.082536         0.192031173516E-01
