# ort(start) =    -8.1790
#   klo  khi step start
#%    4   93    1    4

# Energy[ev]             flux               DELTA(E)           Probability
0.600000           2.24655907          68.8036797         0.326517285632E-01
0.600400           1.99155094          69.1563282         0.287978120771E-01
0.600800           1.81869922          69.5089909         0.261649492418E-01
0.601200           1.74899796          69.8616522         0.250351646550E-01
0.601600           1.79113091          70.2142962         0.255094903232E-01
0.602000           1.94042885          70.5669073         0.274977170118E-01
0.602400           2.17977543          70.9194697         0.307359240176E-01
0.602800           2.48228983          71.2719675         0.348284173686E-01
0.603200           2.81531965          71.6243849         0.393067200703E-01
0.603600           3.14507662          71.9767059         0.436957565869E-01
0.604000           3.44117574          72.3289146         0.475767645765E-01
0.604400           3.68040217          72.6809949         0.506377516455E-01
0.604800           3.84920857          73.0329308         0.527051088911E-01
0.605200           3.94469436          73.3847063         0.537536301997E-01
0.605600           3.97408324          73.7363052         0.538958824800E-01
0.606000           3.95294290          74.0877115         0.533549062753E-01
0.606400           3.90254144          74.4389088         0.524260968587E-01
0.606800           3.84679026          74.7898811         0.514346353367E-01
0.607200           3.80918926          75.1406120         0.506941474344E-01
0.607600           3.81009281          75.4910854         0.504707647635E-01
0.608000           3.86449135          75.8412849         0.509549825282E-01
0.608400           3.98039269          76.1911943         0.522421617453E-01
0.608800           4.15781613          76.5407971         0.543215681449E-01
0.609200           4.38839226          76.8900771         0.570735838915E-01
0.609600           4.65558352          77.2390178         0.602750222819E-01
0.610000           4.93557788          77.5876029         0.636129703930E-01
0.610400           5.19893070          77.9358159         0.667078498280E-01
0.610800           5.41300473          78.2836404         0.691460528425E-01
0.611200           5.54517264          78.6310599         0.705214026846E-01
0.611600           5.56660210          78.9780581         0.704828940856E-01
0.612000           5.45626896          79.3246184         0.687840556009E-01
0.612400           5.20468121          79.6707242         0.653273992126E-01
0.612800           4.81669686          80.0163593         0.601964011967E-01
0.613200           4.31282516          80.3615069         0.536677985537E-01
0.613600           3.72853778          80.7061507         0.461989296709E-01
0.614000           3.11138018          81.0502740         0.383882746689E-01
0.614400           2.51602739          81.3938604         0.309117588970E-01
0.614800           1.99781070          81.7368934         0.244419699936E-01
0.615200           1.60557567          82.0793564         0.195612605153E-01
0.615600           1.37494146          82.4212329         0.166818842218E-01
0.616000           1.32306090          82.7625063         0.159862352412E-01
0.616400           1.44580757          83.1031602         0.173977447183E-01
0.616800           1.71795792          83.4431781         0.205883568260E-01
0.617200           2.09645142          83.7825433         0.250225326319E-01
0.617600           2.52628789          84.1212394         0.300315105208E-01
0.618000           2.94815804          84.4592500         0.349062778224E-01
0.618400           3.30659278          84.7965585         0.389944218928E-01
0.618800           3.55732257          85.1331484         0.417853989628E-01
0.619200           3.67268288          85.4690033         0.429709337164E-01
0.619600           3.64425751          85.8041068         0.424718308584E-01
0.620000           3.48245254          86.1384423         0.404285525035E-01
0.620400           3.21323940          86.4719936         0.371593074498E-01
0.620800           2.87279228          86.8047441         0.330948763997E-01
0.621200           2.50107823          87.1366776         0.287029331893E-01
0.621600           2.13557857          87.4677776         0.244156034046E-01
0.622000           1.80621163          87.7980278         0.205723485869E-01
0.622400           1.53222122          88.1274119         0.173864315706E-01
0.622800           1.32136188          88.4559137         0.149380841196E-01
