# ort(start) =    -8.1790
#   klo  khi step start
#%    4  422    1    4

# Energy[ev]             flux               DELTA(E)           Probability
0.200000E-01       131.057035          119.084800          1.10053537100    
0.200900E-01       132.771783          120.950427          1.09773720398    
0.201800E-01       133.614688          122.830521          1.08779713450    
0.202700E-01       133.704392          124.724992          1.07199359694    
0.203600E-01       133.200763          126.633747          1.05185834162    
0.204500E-01       132.283892          128.556690          1.02899267049    
0.205400E-01       131.143773          130.493724          1.00498145349    
0.206300E-01       129.978212          132.444749         0.981376862380    
0.207200E-01       128.992672          134.409662         0.959697912792    
0.208100E-01       128.394627          136.388358         0.941389926310    
0.209000E-01       128.377180          138.380731         0.927709944742    
0.209900E-01       129.091429          140.386670         0.919541931590    
0.210800E-01       130.612818          142.406063         0.917185792198    
0.211700E-01       132.911451          144.438798         0.920192171201    
0.212600E-01       135.838174          146.484758         0.927319506821    
0.213500E-01       139.136099          148.543824         0.936667003627    
0.214400E-01       142.481388          150.615876         0.945991823147    
0.215300E-01       145.548788          152.700792         0.953163281897    
0.216200E-01       148.089126          154.798446         0.956657708276    
0.217100E-01       150.000121          156.908711         0.955970644518    
0.218000E-01       151.370687          159.031458         0.951828576766    
0.218900E-01       152.483190          161.166557         0.946121778638    
0.219800E-01       153.767344          163.313874         0.941544890541    
0.220700E-01       155.711418          165.473274         0.941006448790    
0.221600E-01       158.748228          167.644620         0.946933030905    
0.222500E-01       163.141658          169.827773         0.960630028890    
0.223400E-01       168.901770          172.022591         0.981858070742    
0.224300E-01       175.751793          174.228933          1.00874056984    
0.225200E-01       183.159251          176.446652          1.03804322072    
0.226100E-01       190.428582          178.675602          1.06577831163    
0.227000E-01       196.837517          180.915636          1.08800721677    
0.227900E-01       201.787941          183.166602          1.10166339945    
0.228800E-01       204.937054          185.428348          1.10520886608    
0.229700E-01       206.277865          187.700721          1.09897215226    
0.230600E-01       206.148785          189.983565          1.08508746855    
0.231500E-01       205.168014          192.276723          1.06704550983    
0.232400E-01       204.105688          194.580035          1.04895493262    
0.233300E-01       203.721349          196.893343          1.03467870473    
0.234200E-01       204.602577          199.216482          1.02703639304    
0.235100E-01       207.040771          201.549290          1.02724634031    
0.236000E-01       210.971831          203.891602          1.03472545707    
0.236900E-01       215.995025          206.243250          1.04728288491    
0.237800E-01       221.465826          208.604066          1.06165632530    
0.238700E-01       226.642124          210.973881          1.07426626644    
0.239600E-01       230.851605          213.352524          1.08201956424    
0.240500E-01       233.643697          215.739821          1.08298827355    
0.241400E-01       234.893165          218.135600          1.07682177763    
0.242300E-01       234.833162          220.539685          1.06481136117    
0.243200E-01       234.010740          222.951900          1.04960191014    
0.244100E-01       233.174166          225.372066          1.03461875329    
0.245000E-01       233.115435          227.800005          1.02333375795    
0.245900E-01       234.500256          230.235536          1.01852329076    
0.246800E-01       237.720054          232.678478          1.02166756253    
0.247700E-01       242.795906          235.128649          1.03260877605    
0.248600E-01       249.354049          237.585865          1.04953234074    
0.249500E-01       256.678787          240.049941          1.06927244378    
0.250400E-01       263.834025          242.520691          1.08788253914    
0.251300E-01       269.831777          244.997929          1.10136350228    
0.252200E-01       273.817187          247.481466          1.10641492157    
0.253100E-01       275.236183          249.971115          1.10107195155    
0.254000E-01       273.954365          252.466685          1.08511095281    
0.254900E-01       270.303735          254.967985          1.06014774477    
0.255800E-01       265.046083          257.474825          1.02940581543    
0.256700E-01       259.256335          259.987012         0.997189560488    
0.257600E-01       254.143643          262.504353         0.968150204954    
0.258500E-01       250.839964          265.026655         0.946470702460    
0.259400E-01       250.193138          267.553721         0.935113652672    
0.260300E-01       252.602511          270.085359         0.935269175762    
0.261200E-01       257.929185          272.621370         0.946107727229    
0.262100E-01       265.500749          275.161560         0.964890405235    
0.263000E-01       274.213550          277.705730         0.987424888059    
0.263900E-01       282.717176          280.253684          1.00879022145    
0.264800E-01       289.649333          282.805222          1.02420079354    
0.265700E-01       293.878182          285.360146          1.02985012730    
0.266600E-01       294.706167          287.918257          1.02357582397    
0.267500E-01       291.995507          290.479354          1.00521948674    
0.268400E-01       286.190256          293.043239         0.976614431419    
0.269300E-01       278.230245          295.609710         0.941208071426    
0.270200E-01       269.374435          298.178566         0.903399725796    
0.271100E-01       260.970123          300.749607         0.867732216450    
0.272000E-01       254.215893          303.322630         0.838103943934    
0.272900E-01       249.967238          305.897435         0.817160296179    
0.273800E-01       248.623882          308.473818         0.805980498970    
0.274700E-01       250.118989          311.051579         0.804107761130    
0.275600E-01       254.006971          313.630514         0.809892405157    
0.276500E-01       259.623883          316.210422         0.821047837266    
0.277400E-01       266.277978          318.791099         0.835274193993    
0.278300E-01       273.421975          321.372343         0.850794978704    
0.279200E-01       280.764433          323.953951         0.866680071758    
0.280100E-01       288.294152          326.535721         0.882887027380    
0.281000E-01       296.214538          329.117450         0.900026840485    
0.281900E-01       304.808663          331.698935         0.918931689686    
0.282800E-01       314.274175          334.279974         0.940152566727    
0.283700E-01       324.575573          336.860364         0.963531504357    
0.284600E-01       335.357185          339.439903         0.987972192435    
0.285500E-01       345.944646          342.018388          1.01147966718    
0.286400E-01       355.439454          344.595619          1.03146829069    
0.287300E-01       362.886441          347.171393          1.04526596417    
0.288200E-01       367.474087          349.745508          1.05068993988    
0.289100E-01       368.717928          352.317764          1.04654935284    
0.290000E-01       366.580420          354.887959          1.03294691024    
0.290900E-01       361.496036          357.455893          1.01130249560    
0.291800E-01       354.294008          360.021365         0.984091619041    
0.292700E-01       346.037060          362.584177         0.954363377901    
