# ort(start) =    -8.1790
#   klo    khi   kmax   step  start
#     4   1003   1000      1      4

#  Time[fs]            IW_tt                Theta          IW_tt + Theta
     30.000    0.156332028119E-04    0.999986075452E+00    0.100000170865E+01
     40.000    0.454773547096E-04    0.999977458510E+00    0.100002293586E+01
     50.000    0.740137704452E-04    0.999964142840E+00    0.100003815661E+01
     60.000    0.104460395614E-03    0.999944754137E+00    0.100004921453E+01
     70.000    0.131997354100E-03    0.999898677366E+00    0.100003067472E+01
     80.000    0.153496695006E-03    0.999828422750E+00    0.999981919445E+00
     90.000    0.174581147904E-03    0.999744617052E+00    0.999919198200E+00
    100.000    0.200589134574E-03    0.999635431780E+00    0.999836020915E+00
    110.000    0.242221662720E-03    0.999519529460E+00    0.999761751123E+00
    120.000    0.332331169993E-03    0.999361965737E+00    0.999694296907E+00
    130.000    0.547630740773E-03    0.999084794093E+00    0.999632424834E+00
    140.000    0.102158592710E-02    0.998558736470E+00    0.999580322397E+00
    150.000    0.195321292444E-02    0.997554941337E+00    0.999508154262E+00
    160.000    0.357585674249E-02    0.995829583097E+00    0.999405439840E+00
    170.000    0.607215797441E-02    0.993172896292E+00    0.999245054266E+00
    180.000    0.945458863514E-02    0.989543249495E+00    0.998997838130E+00
    190.000    0.135252092862E-01    0.985161232611E+00    0.998686441897E+00
    200.000    0.179849103616E-01    0.980340985165E+00    0.998325895527E+00
    210.000    0.225953752077E-01    0.975369870423E+00    0.997965245630E+00
    220.000    0.272618951712E-01    0.970403693708E+00    0.997665588879E+00
    230.000    0.320752305308E-01    0.965325132220E+00    0.997400362750E+00
    240.000    0.373096192278E-01    0.959843393812E+00    0.997153013039E+00
    250.000    0.432524653380E-01    0.953647573176E+00    0.996900038514E+00
    260.000    0.499478933868E-01    0.946670029366E+00    0.996617922753E+00
    270.000    0.570877837087E-01    0.939194081144E+00    0.996281864853E+00
    280.000    0.641724618707E-01    0.931720475522E+00    0.995892937392E+00
    290.000    0.708010750533E-01    0.924640568194E+00    0.995441643248E+00
    300.000    0.768379308278E-01    0.918072699069E+00    0.994910629897E+00
    310.000    0.823494626163E-01    0.911913495680E+00    0.994262958297E+00
    320.000    0.874870488445E-01    0.905970258505E+00    0.993457307349E+00
    330.000    0.924289552694E-01    0.900051714415E+00    0.992480669684E+00
    340.000    0.973040188472E-01    0.894149988291E+00    0.991454007139E+00
    350.000    0.102166132680E+00    0.888361533692E+00    0.990527666372E+00
    360.000    0.107140930721E+00    0.882614072781E+00    0.989755003502E+00
    370.000    0.112599137019E+00    0.876414610614E+00    0.989013747633E+00
    380.000    0.119094636434E+00    0.869164984563E+00    0.988259620996E+00
    390.000    0.127035046682E+00    0.860469224872E+00    0.987504271555E+00
    400.000    0.136321851381E+00    0.850419177240E+00    0.986741028621E+00
    410.000    0.146291342983E+00    0.839659544723E+00    0.985950887706E+00
    420.000    0.156036965275E+00    0.829107713269E+00    0.985144678544E+00
    430.000    0.164821329522E+00    0.819559065329E+00    0.984380394850E+00
    440.000    0.172332268762E+00    0.811390326472E+00    0.983722595234E+00
    450.000    0.178712330380E+00    0.804451859369E+00    0.983164189749E+00
    460.000    0.184416898364E+00    0.798163667264E+00    0.982580565629E+00
    470.000    0.189987371067E+00    0.791909459967E+00    0.981896831035E+00
    480.000    0.195806187971E+00    0.785283006064E+00    0.981089194035E+00
    490.000    0.201928751749E+00    0.778324907530E+00    0.980253659279E+00
    500.000    0.208101743969E+00    0.771414098529E+00    0.979515842498E+00
    510.000    0.213967440816E+00    0.764957440388E+00    0.978924881204E+00
    520.000    0.219264677508E+00    0.759192168733E+00    0.978456846241E+00
    530.000    0.223913253190E+00    0.754162903262E+00    0.978076156452E+00
    540.000    0.228007919766E+00    0.749706215186E+00    0.977714134952E+00
    550.000    0.231745172861E+00    0.745569333439E+00    0.977314506300E+00
    560.000    0.235333564350E+00    0.741517462267E+00    0.976851026617E+00
    570.000    0.238940737359E+00    0.737408779177E+00    0.976349516536E+00
    580.000    0.242661261241E+00    0.733163955484E+00    0.975825216725E+00
    590.000    0.246495477644E+00    0.728806806105E+00    0.975302283749E+00
    600.000    0.250394182512E+00    0.724422432060E+00    0.974816614572E+00
    610.000    0.254396852707E+00    0.719995378448E+00    0.974392231155E+00
    620.000    0.258721580007E+00    0.715301212282E+00    0.974022792289E+00
    630.000    0.263663319002E+00    0.710002468508E+00    0.973665787510E+00
    640.000    0.269368974211E+00    0.703917493589E+00    0.973286467801E+00
    650.000    0.275677147986E+00    0.697218006389E+00    0.972895154376E+00
    660.000    0.282170131393E+00    0.690353501593E+00    0.972523632985E+00
    670.000    0.288403203791E+00    0.683789510483E+00    0.972192714275E+00
    680.000    0.294113456887E+00    0.677791488911E+00    0.971904945799E+00
    690.000    0.299258736769E+00    0.672390500223E+00    0.971649236992E+00
    700.000    0.303932569199E+00    0.667481219074E+00    0.971413788273E+00
    710.000    0.308317256186E+00    0.662879125814E+00    0.971196382000E+00
    720.000    0.312730042346E+00    0.658258412023E+00    0.970988454369E+00
    730.000    0.317636958109E+00    0.653127355571E+00    0.970764313681E+00
    740.000    0.323565253602E+00    0.646932220487E+00    0.970497474089E+00
    750.000    0.330921394594E+00    0.639248735796E+00    0.970170130390E+00
    760.000    0.339737321191E+00    0.630040448144E+00    0.969777769336E+00
    770.000    0.349518825174E+00    0.619830717045E+00    0.969349542220E+00
    780.000    0.359413840191E+00    0.609527512924E+00    0.968941353115E+00
    790.000    0.368647678284E+00    0.599950572583E+00    0.968598250867E+00
    800.000    0.376890459239E+00    0.591421511937E+00    0.968311971176E+00
    810.000    0.384251074601E+00    0.583790575744E+00    0.968041650346E+00
    820.000    0.390958318735E+00    0.576800579539E+00    0.967758898274E+00
    830.000    0.397079920140E+00    0.570392193076E+00    0.967472113216E+00
    840.000    0.402516258694E+00    0.564684466301E+00    0.967200724995E+00
    850.000    0.407200239288E+00    0.559754295049E+00    0.966954534337E+00
    860.000    0.411242709438E+00    0.555461044180E+00    0.966703753617E+00
    870.000    0.414872756464E+00    0.551528467072E+00    0.966401223536E+00
    880.000    0.418276613977E+00    0.547737852708E+00    0.966014466685E+00
    890.000    0.421527714155E+00    0.544009503655E+00    0.965537217810E+00
    900.000    0.424644153004E+00    0.540330317075E+00    0.964974470079E+00
    910.000    0.427673858880E+00    0.536688267349E+00    0.964362126229E+00
    920.000    0.430728363659E+00    0.533014814676E+00    0.963743178335E+00
    930.000    0.433962933517E+00    0.529176866383E+00    0.963139799900E+00
    940.000    0.437523927587E+00    0.525053231862E+00    0.962577159450E+00
    950.000    0.441479303423E+00    0.520580463101E+00    0.962059766524E+00
    960.000    0.445744614504E+00    0.515863673306E+00    0.961608287810E+00
    970.000    0.450062360447E+00    0.511146667693E+00    0.961209028139E+00
    980.000    0.454087845208E+00    0.506750646248E+00    0.960838491457E+00
    990.000    0.457542483652E+00    0.502920312391E+00    0.960462796044E+00
   1000.000    0.460343655423E+00    0.499728802774E+00    0.960072458197E+00
   1010.000    0.462636902659E+00    0.497042413009E+00    0.959679315667E+00
   1020.000    0.464707951298E+00    0.494603112838E+00    0.959311064136E+00
   1030.000    0.466839580573E+00    0.492142225495E+00    0.958981806069E+00
   1040.000    0.469266765387E+00    0.489422268669E+00    0.958689034056E+00
   1050.000    0.472214071415E+00    0.486192029975E+00    0.958406101390E+00
   1060.000    0.475818296857E+00    0.482288873433E+00    0.958107170290E+00
   1070.000    0.479946761694E+00    0.477853253988E+00    0.957800015683E+00
   1080.000    0.484168109999E+00    0.473344967397E+00    0.957513077396E+00
   1090.000    0.487987714101E+00    0.469271585649E+00    0.957259299750E+00
   1100.000    0.491179085597E+00    0.465847292727E+00    0.957026378324E+00
   1110.000    0.493925981109E+00    0.462873413274E+00    0.956799394382E+00
   1120.000    0.496630067572E+00    0.459952554320E+00    0.956582621892E+00
   1130.000    0.499583271135E+00    0.456796184390E+00    0.956379455524E+00
   1140.000    0.502816804109E+00    0.453352036982E+00    0.956168841091E+00
   1150.000    0.506194898358E+00    0.449736827556E+00    0.955931725914E+00
   1160.000    0.509592583373E+00    0.446091967530E+00    0.955684550902E+00
   1170.000    0.513005502514E+00    0.442437532032E+00    0.955443034546E+00
   1180.000    0.516551049854E+00    0.438633894495E+00    0.955184944349E+00
   1190.000    0.520413409788E+00    0.434462484346E+00    0.954875894133E+00
   1200.000    0.524790218679E+00    0.429722379236E+00    0.954512597916E+00
   1210.000    0.529826981647E+00    0.424297085897E+00    0.954124067544E+00
   1220.000    0.535531510155E+00    0.418202188218E+00    0.953733698373E+00
   1230.000    0.541715359631E+00    0.411637892388E+00    0.953353252018E+00
   1240.000    0.548005161870E+00    0.404986442252E+00    0.952991604122E+00
   1250.000    0.553945098019E+00    0.398714940780E+00    0.952660038799E+00
   1260.000    0.559171644422E+00    0.393190682636E+00    0.952362327058E+00
   1270.000    0.563560493356E+00    0.388542966988E+00    0.952103460343E+00
   1280.000    0.567250306276E+00    0.384629299264E+00    0.951879605540E+00
   1290.000    0.570539532886E+00    0.381116709247E+00    0.951656242134E+00
   1300.000    0.573716674292E+00    0.377684485716E+00    0.951401160008E+00
   1310.000    0.576932218089E+00    0.374183713797E+00    0.951115931886E+00
   1320.000    0.580203580248E+00    0.370619684291E+00    0.950823264539E+00
   1330.000    0.583513362806E+00    0.367030264576E+00    0.950543627382E+00
   1340.000    0.586883540288E+00    0.363388733149E+00    0.950272273437E+00
   1350.000    0.590366984246E+00    0.359623567200E+00    0.949990551446E+00
   1360.000    0.593999579290E+00    0.355696037922E+00    0.949695617212E+00
   1370.000    0.597769183542E+00    0.351650084724E+00    0.949419268266E+00
   1380.000    0.601601726239E+00    0.347581965877E+00    0.949183692117E+00
   1390.000    0.605354341049E+00    0.343636794385E+00    0.948991135434E+00
   1400.000    0.608837405326E+00    0.339994890002E+00    0.948832295329E+00
   1410.000    0.611886374722E+00    0.336815447214E+00    0.948701821936E+00
   1420.000    0.614435011259E+00    0.334162364914E+00    0.948597376173E+00
   1430.000    0.616524347519E+00    0.331979952510E+00    0.948504300029E+00
   1440.000    0.618253608963E+00    0.330162701324E+00    0.948416310287E+00
   1450.000    0.619727010290E+00    0.328603948260E+00    0.948330958550E+00
   1460.000    0.621034238197E+00    0.327195663973E+00    0.948229902170E+00
   1470.000    0.622257789903E+00    0.325828185538E+00    0.948085975442E+00
   1480.000    0.623475169574E+00    0.324433923266E+00    0.947909092840E+00
   1490.000    0.624753600280E+00    0.322978669054E+00    0.947732269334E+00
   1500.000    0.626167610999E+00    0.321404731694E+00    0.947572342693E+00
   1510.000    0.627837455589E+00    0.319578496196E+00    0.947415951785E+00
   1520.000    0.629916999925E+00    0.317336386744E+00    0.947253386669E+00
   1530.000    0.632500567891E+00    0.314583793815E+00    0.947084361706E+00
   1540.000    0.635523926860E+00    0.311397037050E+00    0.946920963910E+00
   1550.000    0.638754233761E+00    0.308017978840E+00    0.946772212601E+00
   1560.000    0.641890981094E+00    0.304737791731E+00    0.946628772825E+00
   1570.000    0.644698230862E+00    0.301793613322E+00    0.946491844184E+00
   1580.000    0.647080369179E+00    0.299292728455E+00    0.946373097634E+00
   1590.000    0.649076907084E+00    0.297195405390E+00    0.946272312474E+00
   1600.000    0.650805486793E+00    0.295358347779E+00    0.946163834572E+00
   1610.000    0.652402615253E+00    0.293620594582E+00    0.946023209835E+00
   1620.000    0.653987846081E+00    0.291860287260E+00    0.945848133341E+00
   1630.000    0.655645539151E+00    0.290009237664E+00    0.945654776815E+00
   1640.000    0.657413428548E+00    0.288047038486E+00    0.945460467034E+00
   1650.000    0.659286432077E+00    0.286002147470E+00    0.945288579548E+00
   1660.000    0.661249064344E+00    0.283899012178E+00    0.945148076522E+00
   1670.000    0.663322469477E+00    0.281705050930E+00    0.945027520408E+00
   1680.000    0.665580963368E+00    0.279333503071E+00    0.944914466439E+00
   1690.000    0.668119639775E+00    0.276685380090E+00    0.944805019866E+00
   1700.000    0.671007594963E+00    0.273681867458E+00    0.944689462421E+00
   1710.000    0.674254381670E+00    0.270294657181E+00    0.944549038851E+00
   1720.000    0.677793690316E+00    0.266583231747E+00    0.944376922064E+00
   1730.000    0.681480534814E+00    0.262707437120E+00    0.944187971934E+00
   1740.000    0.685103565924E+00    0.258898646652E+00    0.944002212576E+00
   1750.000    0.688422884165E+00    0.255406622221E+00    0.943829506386E+00
   1760.000    0.691235480854E+00    0.252429881186E+00    0.943665362040E+00
   1770.000    0.693451946634E+00    0.250039017692E+00    0.943490964325E+00
   1780.000    0.695135946800E+00    0.248143936778E+00    0.943279883579E+00
   1790.000    0.696464398477E+00    0.246561038154E+00    0.943025436630E+00
   1800.000    0.697632396199E+00    0.245127291189E+00    0.942759687388E+00
   1810.000    0.698766163076E+00    0.243744526402E+00    0.942510689478E+00
   1820.000    0.699894533881E+00    0.242395339188E+00    0.942289873069E+00
   1830.000    0.700984667266E+00    0.241109523514E+00    0.942094190780E+00
   1840.000    0.702002465901E+00    0.239915651971E+00    0.941918117871E+00
   1850.000    0.702949351485E+00    0.238803042455E+00    0.941752393940E+00
   1860.000    0.703855268316E+00    0.237732177103E+00    0.941587445419E+00
   1870.000    0.704752401725E+00    0.236660101176E+00    0.941412502901E+00
   1880.000    0.705659640688E+00    0.235565299026E+00    0.941224939714E+00
   1890.000    0.706580654953E+00    0.234453146126E+00    0.941033801079E+00
   1900.000    0.707511647973E+00    0.233344488261E+00    0.940856136234E+00
   1910.000    0.708458823809E+00    0.232239486977E+00    0.940698310786E+00
   1920.000    0.709453328509E+00    0.231100478209E+00    0.940553806718E+00
   1930.000    0.710541467272E+00    0.229874725259E+00    0.940416192531E+00
   1940.000    0.711749863548E+00    0.228531901568E+00    0.940281765115E+00
   1950.000    0.713057484231E+00    0.227098855412E+00    0.940156339643E+00
   1960.000    0.714404738754E+00    0.225642913493E+00    0.940047652247E+00
   1970.000    0.715729519740E+00    0.224224760448E+00    0.939954280189E+00
   1980.000    0.716996945575E+00    0.222870497425E+00    0.939867443000E+00
   1990.000    0.718208314258E+00    0.221568229622E+00    0.939776543880E+00
   2000.000    0.719392204871E+00    0.220280441068E+00    0.939672645939E+00
   2010.000    0.720584863295E+00    0.218971182112E+00    0.939556045407E+00
   2020.000    0.721808179543E+00    0.217623088025E+00    0.939431267568E+00
   2030.000    0.723055464499E+00    0.216253030531E+00    0.939308495029E+00
   2040.000    0.724292627810E+00    0.214910072263E+00    0.939202700073E+00
   2050.000    0.725475278208E+00    0.213645845830E+00    0.939121124038E+00
   2060.000    0.726577227094E+00    0.212475429931E+00    0.939052657025E+00
   2070.000    0.727613961506E+00    0.211369331181E+00    0.938983292686E+00
   2080.000    0.728643429620E+00    0.210264864466E+00    0.938908294086E+00
   2090.000    0.729743467504E+00    0.209084238906E+00    0.938827706410E+00
   2100.000    0.730976234180E+00    0.207761135996E+00    0.938737370176E+00
   2110.000    0.732355502228E+00    0.206281491549E+00    0.938636993777E+00
   2120.000    0.733839821286E+00    0.204693427658E+00    0.938533248944E+00
   2130.000    0.735356946800E+00    0.203077276461E+00    0.938434223261E+00
   2140.000    0.736838583500E+00    0.201501411346E+00    0.938339994846E+00
   2150.000    0.738239144135E+00    0.200011760154E+00    0.938250904288E+00
   2160.000    0.739531146940E+00    0.198637260895E+00    0.938168407835E+00
   2170.000    0.740693229051E+00    0.197397286957E+00    0.938090516008E+00
   2180.000    0.741710767899E+00    0.196297907419E+00    0.938008675318E+00
   2190.000    0.742590960043E+00    0.195328611976E+00    0.937919572019E+00
   2200.000    0.743369996553E+00    0.194456659161E+00    0.937826655714E+00
   2210.000    0.744100731897E+00    0.193634713510E+00    0.937735445406E+00
   2220.000    0.744832952625E+00    0.192817255415E+00    0.937650208040E+00
   2230.000    0.745597306922E+00    0.191973428508E+00    0.937570735430E+00
   2240.000    0.746395869786E+00    0.191100470230E+00    0.937496340016E+00
   2250.000    0.747202226961E+00    0.190221590229E+00    0.937423817190E+00
   2260.000    0.747973045613E+00    0.189378802114E+00    0.937351847727E+00
   2270.000    0.748671425833E+00    0.188611294828E+00    0.937282720661E+00
   2280.000    0.749295416090E+00    0.187926191605E+00    0.937221607695E+00
   2290.000    0.749897588771E+00    0.187271243709E+00    0.937168832480E+00
   2300.000    0.750576163452E+00    0.186543165348E+00    0.937119328800E+00
   2310.000    0.751432299248E+00    0.185637073677E+00    0.937069372925E+00
   2320.000    0.752518220190E+00    0.184502722639E+00    0.937020942829E+00
   2330.000    0.753809983353E+00    0.183164838140E+00    0.936974821493E+00
   2340.000    0.755219459208E+00    0.181710650626E+00    0.936930109835E+00
   2350.000    0.756632856598E+00    0.180254775274E+00    0.936887631872E+00
   2360.000    0.757950705213E+00    0.178900346550E+00    0.936851051763E+00
   2370.000    0.759109290381E+00    0.177713346932E+00    0.936822637313E+00
   2380.000    0.760085283614E+00    0.176715413871E+00    0.936800697485E+00
   2390.000    0.760896137281E+00    0.175887727605E+00    0.936783864885E+00
   2400.000    0.761598787243E+00    0.175172452856E+00    0.936771240098E+00
   2410.000    0.762275103307E+00    0.174486125256E+00    0.936761228563E+00
   2420.000    0.763000940691E+00    0.173746362967E+00    0.936747303658E+00
   2430.000    0.763814998393E+00    0.172908109146E+00    0.936723107539E+00
   2440.000    0.764704415143E+00    0.171980735809E+00    0.936685150952E+00
   2450.000    0.765617054981E+00    0.171019678792E+00    0.936636733773E+00
   2460.000    0.766495235995E+00    0.170087052451E+00    0.936582288446E+00
   2470.000    0.767310056618E+00    0.169215319315E+00    0.936525375933E+00
   2480.000    0.768074766772E+00    0.168389270231E+00    0.936464037003E+00
   2490.000    0.768829580701E+00    0.167564090265E+00    0.936393670965E+00
   2500.000    0.769609469125E+00    0.166706152376E+00    0.936315621501E+00
   2510.000    0.770415155472E+00    0.165822750518E+00    0.936237905990E+00
   2520.000    0.771209227495E+00    0.164958871297E+00    0.936168098792E+00
   2530.000    0.771944656082E+00    0.164160914018E+00    0.936105570100E+00
   2540.000    0.772602546497E+00    0.163444541302E+00    0.936047087799E+00
   2550.000    0.773204910489E+00    0.162787842667E+00    0.935992753156E+00
   2560.000    0.773795332801E+00    0.162148150760E+00    0.935943483561E+00
   2570.000    0.774411929007E+00    0.161482066793E+00    0.935893995800E+00
   2580.000    0.775074395281E+00    0.160760936199E+00    0.935835331480E+00
   2590.000    0.775788241526E+00    0.159967074859E+00    0.935755316385E+00
   2600.000    0.776555019532E+00    0.159089454156E+00    0.935644473687E+00
   2610.000    0.777374728309E+00    0.158129463419E+00    0.935504191727E+00
   2620.000    0.778241499747E+00    0.157107835998E+00    0.935349335745E+00
   2630.000    0.779145793965E+00    0.156050678518E+00    0.935196472483E+00
   2640.000    0.780084512875E+00    0.154970602503E+00    0.935055115378E+00
   2650.000    0.781064042167E+00    0.153867688101E+00    0.934931730268E+00
   2660.000    0.782087351132E+00    0.152742297501E+00    0.934829648633E+00
   2670.000    0.783137687646E+00    0.151602822744E+00    0.934740510390E+00
   2680.000    0.784175741692E+00    0.150478562376E+00    0.934654304068E+00
   2690.000    0.785157512046E+00    0.149405057706E+00    0.934562569753E+00
   2700.000    0.786059275809E+00    0.148408285830E+00    0.934467561639E+00
