# ort(start) =    -8.1790
#   klo    khi   kmax   step  start
#     4     89     86      1      4

#  Time[fs]            IW_tt                Theta          IW_tt + Theta
     30.000    0.244616204333E-04    0.999793396704E+00    0.999817858325E+00
     40.000    0.716728397844E-04    0.999704930364E+00    0.999776603203E+00
     50.000    0.431197256312E-03    0.999469196343E+00    0.999900393599E+00
     60.000    0.761834636686E-02    0.993313686802E+00    0.100093203317E+01
     70.000    0.350457366791E-01    0.963418819022E+00    0.998464555701E+00
     80.000    0.887870228405E-01    0.905321093564E+00    0.994108116404E+00
     90.000    0.162360707842E+00    0.824909518902E+00    0.987270226744E+00
    100.000    0.233488084711E+00    0.746597826896E+00    0.980085911607E+00
    110.000    0.284763297149E+00    0.693442635442E+00    0.978205932591E+00
    120.000    0.326532677254E+00    0.649986510755E+00    0.976519188009E+00
    130.000    0.367974471974E+00    0.605402341388E+00    0.973376813362E+00
    140.000    0.406707366098E+00    0.564328210097E+00    0.971035576195E+00
    150.000    0.441663749470E+00    0.528713771472E+00    0.970377520942E+00
    160.000    0.474239063383E+00    0.494888327811E+00    0.969127391194E+00
    170.000    0.507896397297E+00    0.461086831284E+00    0.968983228582E+00
    180.000    0.543482328979E+00    0.423548445426E+00    0.967030774406E+00
    190.000    0.576114302991E+00    0.389080444869E+00    0.965194747860E+00
    200.000    0.602683424003E+00    0.361953666884E+00    0.964637090887E+00
    210.000    0.624745971071E+00    0.338655925247E+00    0.963401896318E+00
    220.000    0.644351510922E+00    0.318053259003E+00    0.962404769925E+00
    230.000    0.662955155349E+00    0.298311670210E+00    0.961266825560E+00
    240.000    0.680281968935E+00    0.279973272476E+00    0.960255241411E+00
    250.000    0.696826433689E+00    0.262875062697E+00    0.959701496386E+00
    260.000    0.713921537149E+00    0.244635561847E+00    0.958557098996E+00
    270.000    0.731225222278E+00    0.226473518871E+00    0.957698741148E+00
    280.000    0.746282089375E+00    0.210455407731E+00    0.956737497107E+00
    290.000    0.758647664199E+00    0.197923297716E+00    0.956570961915E+00
    300.000    0.770353292442E+00    0.185489176095E+00    0.955842468536E+00
    310.000    0.781146600434E+00    0.174230690403E+00    0.955377290836E+00
    320.000    0.790822557160E+00    0.164181372123E+00    0.955003929282E+00
    330.000    0.800477637222E+00    0.154064067597E+00    0.954541704819E+00
    340.000    0.809968003042E+00    0.143963626943E+00    0.953931629985E+00
    350.000    0.818604559754E+00    0.134946006613E+00    0.953550566366E+00
