# ort(start) =    -8.1790
#   klo  khi step start
#%    4  701    1    4

# Energy[ev]             flux               DELTA(E)           Probability
0.100000E-01       7.43423708         0.340030047          21.8634710533    
0.101100E-01       7.70360435         0.327506737          23.5219721878    
0.102200E-01       8.12595528         0.317191563          25.6184471068    
0.103300E-01       8.14266352         0.309276243          26.3281248096    
0.104400E-01       7.94672773         0.303958886          26.1440876090    
0.105500E-01       8.14434566         0.301444005          27.0177728840    
0.106600E-01       8.90050605         0.301942524          29.4774844424    
0.107700E-01       9.58285600         0.305671778          31.3501497180    
0.108800E-01       9.35328684         0.312855505          29.8965070917    
0.109900E-01       8.08213210         0.323723840          24.9661319105    
0.111000E-01       6.56943800         0.338513294          19.4067356494    
0.112100E-01       5.78808230         0.357466730          16.1919468616    
0.113200E-01       5.92361381         0.380833341          15.5543466706    
0.114300E-01       6.22771199         0.408868610          15.2315727814    
0.115400E-01       5.86165783         0.441834270          13.2666436849    
0.116500E-01       4.87056892         0.479998263          10.1470553068    
0.117600E-01       4.27854257         0.523634681          8.17085407565    
0.118700E-01       5.17272696         0.573023714          9.02707311124    
0.119800E-01       7.64432107         0.628451583          12.1637390606    
0.120900E-01       10.5858840         0.690210473          15.3371825445    
0.122000E-01       12.5225064         0.758598456          16.5074239902    
0.123100E-01       12.7171224         0.833919411          15.2498217414    
0.124200E-01       11.6107584         0.916482937          12.6688211914    
0.125300E-01       10.3184206          1.00660426          10.2507222049    
0.126400E-01       9.71419212          1.10460414          8.79427461322    
0.127500E-01       9.88400501          1.21080875          8.16314302811    
0.128600E-01       10.2915602          1.32554960          7.76399482804    
0.129700E-01       10.3746995          1.44916339          7.15909577409    
0.130800E-01       10.0111634          1.58199190          6.32820138953    
0.131900E-01       9.51060604          1.72438188          5.51537112358    
0.133000E-01       9.23263201          1.87668490          4.91964955307    
0.134100E-01       9.21869363          2.03925721          4.52061348322    
0.135200E-01       9.16788240          2.21245963          4.14375127538    
0.136300E-01       8.76667264          2.39665737          3.65787481805    
0.137400E-01       8.06233008          2.59221991          3.11020297833    
0.138500E-01       7.51030167          2.79952081          2.68270971325    
0.139600E-01       7.60258818          3.01893759          2.51829922419    
0.140700E-01       8.38984697          3.25085152          2.58081518760    
0.141800E-01       9.37258694          3.49564749          2.68121627222    
0.142900E-01       9.94077083          3.75371383          2.64824951365    
0.144000E-01       9.99594900          4.02544211          2.48319283512    
0.145100E-01       10.1211325          4.31122697          2.34762227504    
0.146200E-01       11.0214393          4.61146596          2.39000773000    
0.147300E-01       12.6922410          4.92655930          2.57628909013    
0.148400E-01       14.1678796          5.25690973          2.69509660501    
0.149500E-01       14.2682457          5.60292230          2.54657211253    
0.150600E-01       12.7942375          5.96500415          2.14488324978    
0.151700E-01       11.0437906          6.34356435          1.74094404848    
0.152800E-01       10.9909724          6.73901365          1.63094675227    
0.153900E-01       13.6722070          7.15176429          1.91172505237    
0.155000E-01       18.1567553          7.58222980          2.39464586966    
0.156100E-01       22.0903600          8.03082474          2.75069630781    
0.157200E-01       23.4566527          8.49796455          2.76026718946    
0.158300E-01       22.1034333          8.98406527          2.46029304046    
0.159400E-01       19.7567229          9.48954335          2.08194664134    
0.160500E-01       18.5584148          10.0148154          1.85309603733    
0.161600E-01       19.4238088          10.5602980          1.83932392078    
0.162700E-01       21.5919800          11.1264075          1.94060661089    
0.163800E-01       23.6094032          11.7135596          2.01556179001    
0.164900E-01       24.7185330          12.3221695          2.00602118189    
0.166000E-01       25.3639207          12.9526511          1.95820303895    
0.167100E-01       26.4489786          13.6054174          1.94400347373    
0.168200E-01       28.1683613          14.2808798          1.97245279915    
0.169300E-01       29.6016601          14.9794481          1.97615158540    
0.170400E-01       29.4940516          15.7015301          1.87841893863    
0.171500E-01       27.5080493          16.4475317          1.67247279598    
0.172600E-01       24.7621592          17.2178560          1.43816739805    
0.173700E-01       23.0947454          18.0129040          1.28212227359    
0.174800E-01       23.6397512          18.8330733          1.25522535618    
0.175900E-01       25.9494960          19.6787589          1.31865511409    
0.177000E-01       28.4632737          20.5503521          1.38505041095    
0.178100E-01       29.9582140          21.4482410          1.39676787258    
0.179200E-01       30.7303244          22.3728096          1.37355678427    
0.180300E-01       32.4285041          23.3244379          1.39032306873    
0.181400E-01       36.5955098          24.3035019          1.50577105918    
0.182500E-01       43.1126388          25.3103729          1.70335850198    
0.183600E-01       49.9015864          26.3454174          1.89412775752    
0.184700E-01       54.2270449          27.4089972          1.97843957922    
0.185800E-01       54.6022193          28.5014687          1.91576861635    
0.186900E-01       51.7830344          29.6231831          1.74805773823    
0.188000E-01       48.1038881          30.7744858          1.56310940472    
0.189100E-01       45.7857535          31.9557164          1.43278757863    
0.190200E-01       45.6206008          33.1672085          1.37547303182    
0.191300E-01       46.9548141          34.4092893          1.36459703207    
0.192400E-01       48.6737560          35.6822797          1.36408761826    
0.193500E-01       50.1056990          36.9864938          1.35470259373    
0.194600E-01       51.1068602          38.3222386          1.33360842346    
0.195700E-01       51.5999610          39.6898143          1.30008068611    
0.196800E-01       51.3997485          41.0895136          1.25092131867    
0.197900E-01       50.6725214          42.5216216          1.19168835674    
0.199000E-01       50.4141885          43.9864159          1.14613085727    
0.200100E-01       52.0451872          45.4841660          1.14424846624    
0.201200E-01       56.0832132          47.0151334          1.19287576385    
0.202300E-01       61.0482062          48.5795713          1.25666416035    
0.203400E-01       63.9323331          50.1777245          1.27411782486    
0.204500E-01       62.2922745          51.8098289          1.20232542459    
0.205600E-01       56.3799297          53.4761119          1.05430121548    
0.206700E-01       49.3815323          55.1767917         0.894969257473    
0.207800E-01       45.3373234          56.9120774         0.796620426019    
0.208900E-01       46.3984633          58.6821689         0.790673967833    
