# ort(start) =    -8.1790
#   klo  khi step start
#%    4   76    1    4

# Energy[ev]             flux               DELTA(E)           Probability
0.680000           38.5829736          16.9615889          2.27472637641    
0.680480           38.9180293          17.3382029          2.24464031154    
0.680960           39.1549500          17.7211067          2.20950928943    
0.681440           39.2845337          18.1103526          2.16917552868    
0.681920           39.3112625          18.5059921          2.12424507034    
0.682400           39.2535307          18.9080759          2.07601930415    
0.682880           39.1415952          19.3166541          2.02631341220    
0.683360           39.0134536          19.7317755          1.97718921030    
0.683840           38.9092750          20.1534883          1.93064716312    
0.684320           38.8653292          20.5818397          1.88833115785    
0.684800           38.9084994          21.0168760          1.85129795035    
0.685280           39.0523956          21.4586422          1.81989126763    
0.685760           39.2958062          21.9071827          1.79374074291    
0.686240           39.6237877          22.3625406          1.77188220664    
0.686720           40.0111878          22.8247577          1.75297316441    
0.687200           40.4279207          23.2938752          1.73556011565    
0.687680           40.8449698          23.7699326          1.71834605137    
0.688160           41.2399531          24.2529685          1.70040846818    
0.688640           41.6011788          24.7430204          1.68132985568    
0.689120           41.9294294          25.2401241          1.66122120725    
0.689600           42.2371701          25.7443146          1.64064069144    
0.690080           42.5453964          26.2556252          1.62042975740    
0.690560           42.8788007          26.7740882          1.60150367531    
0.691040           43.2602551          27.2997342          1.58464015487    
0.691520           43.7057249          27.8325927          1.57030735102    
0.692000           44.2206056          28.3726914          1.55856224598    
0.692480           44.7981703          28.9200569          1.54903465437    
0.692960           45.4203706          29.4747140          1.54099444893    
0.693440           46.0607692          30.0366862          1.53348372011    
0.693920           46.6889719          30.6059953          1.52548451699    
0.694400           47.2756715          31.1826615          1.51608840346    
0.694880           47.7973455          31.7667036          1.50463662197    
0.695360           48.2397729          32.3581384          1.49080804070    
0.695840           48.5998156          32.9569814          1.47464402150    
0.696320           48.8852743          33.5632461          1.45651210897    
0.696800           49.1129987          34.1769444          1.43702134850    
0.697280           49.3057259          34.7980865          1.41690911497    
0.697760           49.4882969          35.4266807          1.39692164061    
0.698240           49.6839227          36.0627335          1.37770817490    
0.698720           49.9110681          36.7062496          1.35974305652    
0.699200           50.1813226          37.3572320          1.34328267611    
0.699680           50.4984046          38.0156815          1.32835720922    
0.700160           50.8582389          38.6815972          1.31479159680    
0.700640           51.2499142          39.3549762          1.30224736900    
0.701120           51.6572725          40.0358136          1.29027657464    
0.701600           52.0609041          40.7241027          1.27838063154    
0.702080           52.4403798          41.4198346          1.26606927167    
0.702560           52.7766120          42.1229984          1.25291679226    
0.703040           53.0542614          42.8335812          1.23861372044    
0.703520           53.2640683          43.5515683          1.22301148728    
0.704000           53.4049066          44.2769381          1.20615627255    
0.704480           53.4852539          45.0098264          1.18830171271    
0.704960           53.5236949          45.7499052          1.16991925285    
0.705440           53.5480800          46.4973195          1.15163799937    
0.705920           53.5930752          47.2520319          1.13419620405    
0.706400           53.6960842          48.0140141          1.11834190863    
0.706880           53.8918509          48.7832361          1.10472070482    
0.707360           54.2064209          49.5596657          1.09376082568    
0.707840           54.6514409          50.3432686          1.08557593619    
0.708320           55.2199428          51.1340081          1.07990640360    
0.708800           55.8846932          51.9318453          1.07611606876    
0.709280           56.5998896          52.7367392          1.07325349396    
0.709760           57.3064464          53.5486462          1.07017544717    
0.710240           57.9404461          54.3675208          1.06571801017    
0.710720           58.4436320          55.1933149          1.05888968825    
0.711200           58.7742625          56.0259783          1.04905374781    
0.711680           58.9163464          56.8654584          1.03606562061    
0.712160           58.8853502          57.7117002          1.02033643238    
0.712640           58.7289235          58.5646465          1.00280505449    
0.713120           58.5219839          59.4242378         0.984816734599    
0.713600           58.3565078          60.2904123         0.967923515573    
0.714080           58.3274005          61.1631056         0.953637000459    
0.714560           58.5166660          62.0422512         0.943174447446    
0.715040           58.9785843          62.9277803         0.937242408318    
0.715520           59.7286064          63.8196215         0.935897221246    
0.716000           60.7381634          64.7177014         0.938509280175    
0.716480           61.9366333          65.6219440         0.943840269262    
0.716960           63.2204750          66.5322710         0.950222712735    
0.717440           64.4682479          67.4486019         0.955812960864    
0.717920           65.5591407          68.3708537         0.958875561242    
0.718400           66.3919443          69.2989413         0.958051351070    
0.718880           66.9012572          70.2327770         0.952564601333    
0.719360           67.0681607          71.1722710         0.942335544061    
0.719840           66.9235483          72.1173311         0.927981489315    
0.720320           66.5435798          73.0678628         0.910709267336    
0.720800           66.0381035          74.0237695         0.892120247211    
0.721280           65.5340962          74.9849520         0.873963302327    
0.721760           65.1569849          75.9513090         0.857878366436    
0.722240           65.0129889          76.9227371         0.845172589735    
0.722720           65.1753236          77.8991304         0.836663044571    
0.723200           65.6763035          78.8803810         0.832606317267    
0.723680           66.5062501          79.8663786         0.832718990376    
0.724160           67.6188715          80.8570108         0.836277161448    
0.724640           68.9416760          81.8521631         0.842270666650    
0.725120           70.3892167          82.8517188         0.849580644545    
0.725600           71.8766544          83.8555590         0.857148355080    
0.726080           73.3313125          84.8635627         0.864108343001    
0.726560           74.7004919          85.8756069         0.869868575938    
0.727040           75.9546858          86.8915664         0.874131850879    
0.727520           77.0862752          87.9113142         0.876864098013    
0.728000           78.1046130          88.9347209         0.878224074997    
0.728480           79.0289673          89.9616555         0.878473910609    
0.728960           79.8810022          90.9919847         0.877890536001    
0.729440           80.6783316          92.0255735         0.876694689135    
0.729920           81.4302525          93.0622849         0.875008093935    
0.730400           82.1361800          94.1019800         0.872842208621    
0.730880           82.7866943          95.1445180         0.870115231845    
0.731360           83.3666170          96.1897564         0.866689137662    
0.731840           83.8592287          97.2375508         0.862416093103    
0.732320           84.2506668          98.2877552         0.857183752735    
0.732800           84.5336717          99.3402216         0.850951107732    
0.733280           84.7101120          100.394801         0.843769910610    
0.733760           84.7920388          101.451341         0.835790220671    
